id,pdbid,ndbid,polyclass,method
5DB6,5DB6,5DB6,Protein/DNA,X-ray
5DB7,5DB7,5DB7,Protein/DNA,X-ray
5DB8,5DB8,5DB8,Protein/DNA,X-ray
5DB9,5DB9,5DB9,Protein/DNA,X-ray
5DBA,5DBA,5DBA,Protein/DNA,X-ray
5DBB,5DBB,5DBB,Protein/DNA,X-ray
5DBC,5DBC,5DBC,Protein/DNA,X-ray
5DC3,5DC3,5DC3,Protein/RNA,X-ray
5DCV,5DCV,5DCV,Protein/RNA,X-ray
5DDG,5DDG,5DDG,Protein/DNA,X-ray
5DDM,5DDM,5DDM,Protein/DNA,X-ray
5DDO,5DDO,5DDO,Protein/RNA,X-ray
5DDP,5DDP,5DDP,Protein/RNA,X-ray
5DDQ,5DDQ,5DDQ,Protein/RNA,X-ray
5DDR,5DDR,5DDR,Protein/RNA,X-ray
5DE5,5DE5,5DE5,Protein/RNA,X-ray
5DE8,5DE8,5DE8,Protein/RNA,X-ray
5DEA,5DEA,5DEA,Protein/RNA,X-ray
5DEK,5DEK,5DEK,Hybrid,X-ray
5DER,5DER,5DER,RNA,X-ray
5DET,5DET,5DET,Protein/RNA,X-ray
5DEU,5DEU,5DEU,Protein/DNA,X-ray
5DEV,5DEV,5DEV,DNA,X-ray
5DFE,5DFE,5DFE,Protein/RNA,X-ray
5DFF,5DFF,5DFF,Protein/DNA,X-ray
5DFH,5DFH,5DFH,Protein/DNA,X-ray
5DFI,5DFI,5DFI,Protein/DNA,X-ray
5DFJ,5DFJ,5DFJ,Protein/DNA,X-ray
5DG0,5DG0,5DG0,Protein/DNA,X-ray
5DG7,5DG7,5DG7,Protein/DNA,X-ray
5DG8,5DG8,5DG8,Protein/DNA,X-ray
5DG9,5DG9,5DG9,Protein/DNA,X-ray
5DGA,5DGA,5DGA,Protein/DNA,X-ray
5DGB,5DGB,5DGB,Protein/DNA,X-ray
5DGE,5DGE,5DGE,Protein/RNA,X-ray
5DGF,5DGF,5DGF,Protein/RNA,X-ray
5DGV,5DGV,5DGV,Protein/RNA,X-ray
5DH6,5DH6,5DH6,RNA/Hybrid,X-ray
5DH7,5DH7,5DH7,RNA,X-ray
5DH8,5DH8,5DH8,RNA/Hybrid,X-ray
5DHB,5DHB,5DHB,RNA,X-ray
5DHC,5DHC,5DHC,RNA,X-ray
5DI2,5DI2,5DI2,RNA/Hybrid,X-ray
5DI4,5DI4,5DI4,RNA/Hybrid,X-ray
5DKW,5DKW,5DKW,Protein/DNA,X-ray
5DLF,5DLF,5DLF,Protein/DNA,X-ray
5DLG,5DLG,5DLG,Protein/DNA,X-ray
5DLJ,5DLJ,5DLJ,Protein/DNA,X-ray
5DLO,5DLO,5DLO,Protein/DNA,X-ray
5DM6,5DM6,5DM6,Protein/RNA,X-ray
5DM7,5DM7,5DM7,Protein/RNA,X-ray
5DNB,5DNB,BDJ019,DNA,X-ray
5DNM,5DNM,5DNM,Protein/DNA,X-ray
5DNN,5DNN,5DNN,Protein/DNA,X-ray
5DNO,5DNO,5DNO,Protein/RNA,X-ray
5DNY,5DNY,5DNY,Protein/DNA,X-ray
5DO4,5DO4,5DO4,Protein/RNA,X-ray
5DO5,5DO5,5DO5,RNA,X-ray
5DOX,5DOX,5DOX,Protein/RNA,X-ray
5DOY,5DOY,5DOY,Protein/RNA,X-ray
5DQG,5DQG,5DQG,Protein/DNA,X-ray
5DQH,5DQH,5DQH,Protein/DNA,X-ray
5DQI,5DQI,5DQI,Protein/DNA,X-ray
5DQK,5DQK,5DQK,RNA/Hybrid,X-ray
5DQT,5DQT,5DQT,Protein/DNA,X-ray
5DQU,5DQU,5DQU,Protein/DNA,X-ray
5DQZ,5DQZ,5DQZ,Protein/DNA,X-ray
5DS4,5DS4,5DS4,Protein/DNA,X-ray
5DS5,5DS5,5DS5,Protein/DNA,X-ray
5DS6,5DS6,5DS6,Protein/DNA,X-ray
5DS9,5DS9,5DS9,Protein/DNA,X-ray
5DSA,5DSA,5DSA,DNA,X-ray
5DSB,5DSB,5DSB,DNA,X-ray
5DTD,5DTD,5DTD,Protein/DNA,X-ray
5DTO,5DTO,5DTO,Protein/RNA,X-ray
5DUI,5DUI,5DUI,Protein/DNA,X-ray
5DUN,5DUN,5DUN,RNA,X-ray
5DV7,5DV7,5DV7,Protein/RNA,X-ray
5DWA,5DWA,5DWA,Protein/DNA,X-ray
5DWB,5DWB,5DWB,Protein/DNA,X-ray
5DWW,5DWW,5DWW,DNA,X-ray
5DWX,5DWX,5DWX,DNA,X-ray
5DY0,5DY0,5DY0,Protein/DNA,X-ray
5E01,5E01,5E01,Protein/DNA,X-ray
5E02,5E02,5E02,Protein/RNA,X-ray
5E08,5E08,5E08,Protein/RNA,X-ray
5E17,5E17,5E17,Protein/DNA/RNA,X-ray
5E18,5E18,5E18,Protein/DNA/RNA,X-ray
5E24,5E24,5E24,Protein/DNA,X-ray
5E36,5E36,5E36,DNA,X-ray
5E3H,5E3H,5E3H,Protein/RNA,X-ray
5E3L,5E3L,5E3L,Protein/DNA,X-ray
5E3M,5E3M,5E3M,Protein/DNA,X-ray
5E3N,5E3N,5E3N,Protein/DNA,X-ray
5E3O,5E3O,5E3O,Protein/DNA,X-ray
5E41,5E41,5E41,Protein/DNA,X-ray
5E54,5E54,5E54,RNA,X-ray
5E5A,5E5A,5E5A,Protein/DNA,X-ray
5E5O,5E5O,5E5O,Protein/DNA,X-ray
5E5S,5E5S,5E5S,Protein/DNA,X-ray
5E63,5E63,5E63,Protein/DNA,X-ray
5E67,5E67,5E67,Protein/DNA,X-ray
5E69,5E69,5E69,Protein/DNA,X-ray
5E6A,5E6A,5E6A,Protein/DNA,X-ray
5E6B,5E6B,5E6B,Protein/DNA,X-ray
5E6C,5E6C,5E6C,Protein/DNA,X-ray
5E6D,5E6D,5E6D,Protein/DNA,X-ray
5E6M,5E6M,5E6M,Protein/RNA,X-ray
5E7K,5E7K,5E7K,Protein/RNA,X-ray
5E81,5E81,5E81,Protein/RNA,X-ray
5E8I,5E8I,5E8I,Protein/DNA,X-ray
5EAN,5EAN,5EAN,Protein/DNA,X-ray
5EAO,5EAO,5EAO,RNA,X-ray
5EAQ,5EAQ,5EAQ,RNA,X-ray
5EAX,5EAX,5EAX,Protein/DNA,X-ray
5EBI,5EBI,5EBI,Hybrid,X-ray
5ED1,5ED1,5ED1,Protein/RNA,X-ray
5ED2,5ED2,5ED2,Protein/RNA,X-ray
5ED4,5ED4,5ED4,Protein/DNA,X-ray
5EDN,5EDN,5EDN,Protein/DNA,X-ray
5EDW,5EDW,5EDW,Protein/DNA,X-ray
5EEA,5EEA,5EEA,Protein/DNA,X-ray
5EEU,5EEU,5EEU,Protein/RNA,X-ray
5EEV,5EEV,5EEV,Protein/RNA,X-ray
5EEW,5EEW,5EEW,Protein/RNA,X-ray
5EEX,5EEX,5EEX,Protein/RNA,X-ray
5EEY,5EEY,5EEY,Protein/RNA,X-ray
5EEZ,5EEZ,5EEZ,Protein/RNA,X-ray
5EF0,5EF0,5EF0,Protein/RNA,X-ray
5EF1,5EF1,5EF1,Protein/RNA,X-ray
5EF2,5EF2,5EF2,Protein/RNA,X-ray
5EF3,5EF3,5EF3,Protein/RNA,X-ray
5EF6,5EF6,5EF6,Protein/DNA,X-ray
5EG0,5EG0,5EG0,Protein/DNA,X-ray
5EG6,5EG6,5EG6,Protein/DNA,X-ray
5EGB,5EGB,5EGB,Protein/DNA,X-ray
5EGO,5EGO,5EGO,Protein/DNA,X-ray
5EH2,5EH2,5EH2,Protein/DNA,X-ray
5EI9,5EI9,5EI9,Protein/DNA,X-ray
5EIM,5EIM,5EIM,Protein/RNA,X-ray
5EIX,5EIX,5EIX,Protein/DNA,X-ray
5EJK,5EJK,5EJK,Protein/DNA,X-ray
5EL4,5EL4,5EL4,Protein/RNA,X-ray
5EL5,5EL5,5EL5,Protein/RNA,X-ray
5EL6,5EL6,5EL6,Protein/RNA,X-ray
5EL7,5EL7,5EL7,Protein/RNA,X-ray
5ELH,5ELH,5ELH,Protein/RNA,X-ray
5ELK,5ELK,5ELK,Protein/RNA,X-ray
5ELR,5ELR,5ELR,Protein/RNA,X-ray
5ELS,5ELS,5ELS,Protein/RNA,X-ray
5ELT,5ELT,5ELT,Protein/RNA,X-ray
5ELX,5ELX,5ELX,Protein/RNA,X-ray
5EMC,5EMC,5EMC,Protein/DNA,X-ray
5EME,5EME,5EME,RNA/PNA,X-ray
5EMF,5EMF,5EMF,RNA/PNA,X-ray
5EMO,5EMO,5EMO,Protein/RNA,X-ray
5EMP,5EMP,5EMP,Protein/DNA,X-ray
5EMQ,5EMQ,5EMQ,Protein/DNA,X-ray
5EN1,5EN1,5EN1,Protein/RNA,X-ray
5EOS,5EOS,5EOS,DNA,X-ray
5EOZ,5EOZ,5EOZ,Protein/DNA,X-ray
5EPI,5EPI,5EPI,Protein/RNA,X-ray
5ESP,5ESP,5ESP,Protein/DNA,X-ray
5ET2,5ET2,5ET2,DNA,X-ray
5ET9,5ET9,5ET9,DNA,X-ray
5EV1,5EV1,5EV1,Protein/Hybrid,X-ray
5EV2,5EV2,5EV2,Protein/Hybrid,X-ray
5EV3,5EV3,5EV3,Protein/Hybrid,X-ray
5EV4,5EV4,5EV4,Protein/Hybrid,X-ray
5EW1,5EW1,5EW1,Protein/DNA,X-ray
5EW2,5EW2,5EW2,Protein/DNA,X-ray
5EW4,5EW4,5EW4,RNA,X-ray
5EW7,5EW7,5EW7,RNA,X-ray
5EWB,5EWB,5EWB,DNA,X-ray
5EWE,5EWE,5EWE,Protein/DNA,X-ray
5EWF,5EWF,5EWF,Protein/DNA,X-ray
5EWG,5EWG,5EWG,Protein/DNA,X-ray
5EX7,5EX7,5EX7,Protein/RNA,X-ray
5EXH,5EXH,5EXH,Protein/DNA,X-ray
5EYB,5EYB,5EYB,Protein/DNA,X-ray
5EYO,5EYO,5EYO,Protein/DNA,X-ray
5EYQ,5EYQ,5EYQ,DNA,X-ray
5EZF,5EZF,5EZF,DNA,X-ray
5F0Q,5F0Q,5F0Q,Protein/DNA/RNA,X-ray
5F0S,5F0S,5F0S,Protein/DNA/RNA,X-ray
5F26,5F26,5F26,DNA,X-ray
5F3W,5F3W,5F3W,Protein/DNA,X-ray
5F55,5F55,5F55,Protein/DNA,X-ray
5F56,5F56,5F56,Protein/DNA,X-ray
5F5F,5F5F,5F5F,Protein/RNA,X-ray
5F5H,5F5H,5F5H,Protein/RNA,X-ray
5F6C,5F6C,5F6C,Protein/RNA,X-ray
5F7Q,5F7Q,5F7Q,Protein/DNA,X-ray
5F8A,5F8A,5F8A,Protein/DNA,X-ray
5F8G,5F8G,5F8G,Protein/RNA,X-ray
5F8H,5F8H,5F8H,Protein/RNA,X-ray
5F8I,5F8I,5F8I,Protein/RNA,X-ray
5F8J,5F8J,5F8J,Protein/RNA,X-ray
5F8K,5F8K,5F8K,Protein/RNA,X-ray
5F8L,5F8L,5F8L,Protein/RNA,X-ray
5F8M,5F8M,5F8M,Protein/RNA,X-ray
5F8N,5F8N,5F8N,Protein/RNA,X-ray
5F98,5F98,5F98,Protein/RNA,X-ray
5F99,5F99,5F99,Protein/DNA,X-ray
5F9F,5F9F,5F9F,Protein/RNA,X-ray
5F9H,5F9H,5F9H,Protein/RNA,X-ray
5F9I,5F9I,5F9I,DNA,X-ray
5F9L,5F9L,5F9L,Protein/DNA,X-ray
5F9N,5F9N,5F9N,Protein/DNA,X-ray
5F9R,5F9R,5F9R,Protein/DNA/RNA,X-ray
5FB2,5FB2,5FB2,Protein/DNA,X-ray
5FCI,5FCI,5FCI,Protein/RNA,X-ray
5FCJ,5FCJ,5FCJ,Protein/RNA,X-ray
5FD3,5FD3,5FD3,Protein/DNA,X-ray
5FDK,5FDK,5FDK,Protein/DNA,X-ray
5FDU,5FDU,5FDU,Protein/RNA,X-ray
5FDV,5FDV,5FDV,Protein/RNA,X-ray
5FF8,5FF8,5FF8,Protein/DNA,X-ray
5FFJ,5FFJ,5FFJ,Protein/DNA,X-ray
5FGP,5FGP,5FGP,Protein/DNA,X-ray
5FHD,5FHD,5FHD,Protein/DNA,X-ray
5FHE,5FHE,5FHE,Protein/DNA,X-ray
5FHJ,5FHJ,5FHJ,DNA,X-ray
5FHL,5FHL,5FHL,DNA,X-ray
5FJ0,5FJ0,5FJ0,RNA,X-ray
5FJ1,5FJ1,5FJ1,RNA,X-ray
5FJ4,5FJ4,5FJ4,Protein/RNA,X-ray
5FJ8,5FJ8,,Protein/DNA/RNA,EM
5FJC,5FJC,5FJC,RNA,X-ray
5FK1,5FK1,5FK1,RNA,X-ray
5FK2,5FK2,5FK2,RNA,X-ray
5FK3,5FK3,5FK3,RNA,X-ray
5FK4,5FK4,5FK4,RNA,X-ray
5FK5,5FK5,5FK5,RNA,X-ray
5FK6,5FK6,5FK6,RNA,X-ray
5FKD,5FKD,5FKD,RNA,X-ray
5FKE,5FKE,5FKE,RNA,X-ray
5FKF,5FKF,5FKF,RNA,X-ray
5FKG,5FKG,5FKG,RNA,X-ray
5FKH,5FKH,5FKH,RNA,X-ray
5FKV,5FKV,,Protein/DNA,EM
5FKW,5FKW,,Protein/DNA,EM
5FLM,5FLM,,Protein/DNA/RNA,EM
5FLV,5FLV,NA3385,Protein/DNA,X-ray
5FLX,5FLX,,Protein/RNA,EM
5FMF,5FMF,,Protein/DNA,EM
5FMP,5FMP,5FMP,Protein/DNA,X-ray
5FMZ,5FMZ,NA3383,Protein/RNA,X-ray
5FN1,5FN1,,Protein/RNA,EM
5FQ5,5FQ5,NA3391,Protein/DNA/RNA,X-ray
5FRM,5FRM,5FRM,Protein/DNA,X-ray
5FRN,5FRN,5FRN,Protein/DNA,X-ray
5FRO,5FRO,5FRO,Protein/DNA,X-ray
5FTE,5FTE,5FTE,Protein/DNA,X-ray
5FUR,5FUR,,Protein/DNA,EM
5FVC,5FVC,NA3390,Protein/RNA,X-ray
5FW1,5FW1,5FW1,Protein/DNA/RNA,X-ray
5FW2,5FW2,5FW2,Protein/DNA/RNA,X-ray
5FW3,5FW3,5FW3,Protein/DNA/RNA,X-ray
5FYW,5FYW,,Protein/DNA,EM
5FZ5,5FZ5,,Protein/DNA,EM
5G2X,5G2X,,Protein/RNA,EM
5G2Y,5G2Y,,Protein/RNA,EM
5G32,5G32,5G32,Protein/DNA,X-ray
5G33,5G33,5G33,Protein/DNA,X-ray
5G34,5G34,5G34,Protein/DNA,X-ray
5G35,5G35,5G35,Protein/DNA,X-ray
5G4T,5G4T,5G4T,RNA,X-ray
5G4U,5G4U,5G4U,Protein/RNA,X-ray
5G4V,5G4V,5G4V,Protein/RNA,X-ray
5G5T,5G5T,5G5T,Protein/DNA,X-ray
5GAD,5GAD,,Protein/RNA,EM
5GAE,5GAE,,Protein/RNA,EM
5GAF,5GAF,,Protein/RNA,EM
5GAG,5GAG,,Protein/RNA,EM
5GAH,5GAH,,Protein/RNA,EM
5GAK,5GAK,,Protein/RNA,EM
5GAM,5GAM,,Protein/RNA,EM
5GAN,5GAN,,Protein/RNA,EM
5GAO,5GAO,,Protein/RNA,EM
5GAP,5GAP,,Protein/RNA,EM
5GAT,5GAT,5GAT,Protein/DNA,NMR
5GIN,5GIN,5GIN,Protein/RNA,X-ray
5GIO,5GIO,5GIO,Protein/RNA,X-ray
5GIP,5GIP,5GIP,Protein/RNA,X-ray
5GJB,5GJB,5GJB,Protein/RNA,X-ray
5GKE,5GKE,5GKE,Protein/DNA,X-ray
5GKF,5GKF,5GKF,Protein/DNA,X-ray
5GKG,5GKG,5GKG,Protein/DNA,X-ray
5GKH,5GKH,5GKH,Protein/DNA,X-ray
5GKI,5GKI,5GKI,Protein/DNA,X-ray
5GKP,5GKP,5GKP,Protein/DNA,X-ray
5GKR,5GKR,5GKR,Protein/DNA,X-ray
5GM6,5GM6,,Protein/RNA,EM
5GMF,5GMF,5GMF,Protein/RNA,X-ray
5GMG,5GMG,5GMG,Protein/RNA,X-ray
5GMK,5GMK,,Protein/RNA,EM
5GNJ,5GNJ,5GNJ,Protein/DNA,X-ray
5GPC,5GPC,5GPC,Protein/DNA,X-ray
5GQ9,5GQ9,5GQ9,Protein/DNA,X-ray
5GSE,5GSE,5GSE,Protein/DNA,X-ray
5GSK,5GSK,5GSK,DNA,X-ray
5GSU,5GSU,5GSU,Protein/DNA,X-ray
5GT0,5GT0,5GT0,Protein/DNA,X-ray
5GT3,5GT3,5GT3,Protein/DNA,X-ray
5GTC,5GTC,5GTC,Protein/DNA,X-ray
5GUH,5GUH,5GUH,Protein/RNA,X-ray
5GUN,5GUN,5GUN,DNA,X-ray
5GWI,5GWI,5GWI,Protein/DNA,X-ray
5GWJ,5GWJ,5GWJ,Protein/DNA,X-ray
5GWK,5GWK,5GWK,Protein/DNA,X-ray
5GWL,5GWL,5GWL,DNA,NMR
5GWQ,5GWQ,5GWQ,DNA,NMR
5GXH,5GXH,5GXH,Protein/RNA,X-ray
5GXI,5GXI,5GXI,Protein/RNA,X-ray
5GXQ,5GXQ,5GXQ,Protein/DNA,X-ray
5GZB,5GZB,5GZB,Protein/DNA,X-ray
5H0R,5H0R,,Protein/RNA,EM
5H1B,5H1B,,Protein/DNA,EM
5H1C,5H1C,,Protein/DNA,EM
5H1K,5H1K,5H1K,Protein/RNA,X-ray
5H1L,5H1L,5H1L,Protein/RNA,X-ray
5H1S,5H1S,,Protein/RNA,EM
5H3R,5H3R,5H3R,Protein/DNA,X-ray
5H3U,5H3U,5H3U,Protein/RNA,X-ray
5H4P,5H4P,,Protein/RNA,EM
5H58,5H58,5H58,Protein/DNA,X-ray
5H5U,5H5U,,Protein/RNA,EM
5H8W,5H8W,5H8W,Protein/DNA,X-ray
5H9E,5H9E,5H9E,Protein/DNA/RNA,X-ray
5H9F,5H9F,5H9F,Protein/DNA/RNA,X-ray
5HAB,5HAB,5HAB,Protein/RNA,X-ray
5HAU,5HAU,5HAU,Protein/RNA,X-ray
5HAW,5HAW,5HAW,Protein/DNA,X-ray
5HBU,5HBU,5HBU,Protein/DNA,X-ray
5HBW,5HBW,5HBW,RNA,X-ray
5HBX,5HBX,5HBX,RNA,X-ray
5HBY,5HBY,5HBY,RNA,X-ray
5HC9,5HC9,5HC9,Protein/RNA,X-ray
5HCH,5HCH,5HCH,Protein/DNA,X-ray
5HCP,5HCP,5HCP,Protein/RNA,X-ray
5HCQ,5HCQ,5HCQ,Protein/RNA,X-ray
5HCR,5HCR,5HCR,Protein/RNA,X-ray
5HD1,5HD1,5HD1,Protein/RNA,X-ray
5HDN,5HDN,5HDN,Protein/DNA,X-ray
5HF7,5HF7,5HF7,Protein/DNA,X-ray
5HHH,5HHH,5HHH,Protein/DNA,X-ray
5HHI,5HHI,5HHI,Protein/DNA,X-ray
5HIX,5HIX,5HIX,DNA,X-ray
5HJZ,5HJZ,5HJZ,Protein/RNA,X-ray
5HK0,5HK0,5HK0,Protein/RNA,X-ray
5HK3,5HK3,5HK3,Protein/DNA,X-ray
5HKC,5HKC,5HKC,Protein/RNA,X-ray
5HKV,5HKV,5HKV,Protein/RNA,X-ray
5HL7,5HL7,5HL7,Protein/RNA,X-ray
5HLF,5HLF,5HLF,Protein/DNA,X-ray
5HLG,5HLG,5HLG,Protein/DNA,X-ray
5HLH,5HLH,5HLH,Protein/DNA,X-ray
5HLK,5HLK,5HLK,Protein/DNA,X-ray
5HLT,5HLT,5HLT,Protein/DNA,X-ray
5HN2,5HN2,5HN2,RNA,X-ray
5HNF,5HNF,5HNF,Protein/DNA,X-ray
5HNH,5HNH,5HNH,Protein/DNA,X-ray
5HNJ,5HNJ,5HNJ,RNA,X-ray
5HNK,5HNK,5HNK,Protein/DNA,X-ray
5HNQ,5HNQ,5HNQ,RNA,X-ray
5HO4,5HO4,5HO4,Protein/RNA,X-ray
5HOD,5HOD,5HOD,Protein/DNA,X-ray
5HOO,5HOO,5HOO,Protein/DNA,X-ray
5HP1,5HP1,5HP1,Protein/DNA,X-ray
5HP2,5HP2,5HP2,Protein/RNA,X-ray
5HP3,5HP3,5HP3,Protein/RNA,X-ray
5HP4,5HP4,5HP4,Protein/DNA,X-ray
5HQ2,5HQ2,5HQ2,Protein/DNA,X-ray
5HQF,5HQF,5HQF,DNA,NMR
5HQQ,5HQQ,5HQQ,DNA,NMR
5HR4,5HR4,5HR4,Protein/DNA,X-ray
5HR6,5HR6,5HR6,Protein/RNA,X-ray
5HR7,5HR7,5HR7,Protein/RNA,X-ray
5HR9,5HR9,5HR9,Protein/DNA,X-ray
5HRB,5HRB,5HRB,Protein/DNA,X-ray
5HRD,5HRD,5HRD,Protein/DNA,X-ray
5HRE,5HRE,5HRE,Protein/DNA,X-ray
5HRF,5HRF,5HRF,Protein/DNA,X-ray
5HRG,5HRG,5HRG,Protein/DNA,X-ray
5HRH,5HRH,5HRH,Protein/DNA,X-ray
5HRI,5HRI,5HRI,Protein/DNA,X-ray
5HRK,5HRK,5HRK,Protein/DNA,X-ray
5HRL,5HRL,5HRL,Protein/DNA,X-ray
5HRO,5HRO,5HRO,Protein/DNA,X-ray
5HRT,5HRT,5HRT,Protein/DNA,X-ray
5HRU,5HRU,5HRU,Protein/DNA,X-ray
5HSO,5HSO,5HSO,Protein/DNA,X-ray
5HSW,5HSW,5HSW,Protein/RNA,X-ray
5HT2,5HT2,5HT2,Protein/DNA,X-ray
5HTO,5HTO,5HTO,Protein/DNA,X-ray
5I2D,5I2D,5I2D,Protein/DNA/RNA,X-ray
5I2V,5I2V,5I2V,DNA,NMR
5I36,5I36,5I36,DNA,X-ray
5I3U,5I3U,5I3U,Protein/DNA,X-ray
5I42,5I42,5I42,Protein/DNA,X-ray
5I44,5I44,5I44,Protein/DNA,X-ray
5I4A,5I4A,5I4A,Protein/RNA,X-ray
5I4L,5I4L,5I4L,Protein/RNA,X-ray
5I4S,5I4S,5I4S,DNA,X-ray
5I50,5I50,5I50,Protein/DNA,X-ray
5I6Q,5I6Q,5I6Q,DNA,X-ray
5I6T,5I6T,5I6T,DNA,X-ray
5I8Q,5I8Q,5I8Q,Protein/RNA,X-ray
5I9D,5I9D,5I9D,Protein/RNA,X-ray
5I9F,5I9F,5I9F,Protein/RNA,X-ray
5I9G,5I9G,5I9G,Protein/RNA,X-ray
5I9H,5I9H,5I9H,Protein/RNA,X-ray
5IB7,5IB7,5IB7,Protein/RNA,X-ray
5IB8,5IB8,5IB8,Protein/RNA,X-ray
5IBB,5IBB,5IBB,Protein/RNA,X-ray
5ID6,5ID6,5ID6,Protein/RNA,X-ray
5IEM,5IEM,5IEM,RNA,NMR
5IFF,5IFF,5IFF,Protein/DNA,X-ray
5IHD,5IHD,5IHD,DNA,X-ray
5III,5III,5III,Protein/DNA,X-ray
5IIJ,5IIJ,5IIJ,Protein/DNA,X-ray
5IIK,5IIK,5IIK,Protein/DNA,X-ray
5IIL,5IIL,5IIL,Protein/DNA,X-ray
5IIM,5IIM,5IIM,Protein/DNA,X-ray
5IIN,5IIN,5IIN,Protein/DNA,X-ray
5IIO,5IIO,5IIO,Protein/DNA,X-ray
5IMQ,5IMQ,,Protein/RNA,EM
5IMR,5IMR,,Protein/RNA,EM
5INK,5INK,5INK,Protein/DNA,X-ray
5INL,5INL,5INL,Protein/DNA,X-ray
5INO,5INO,5INO,Protein/DNA,X-ray
5INP,5INP,5INP,Protein/DNA,X-ray
5INQ,5INQ,5INQ,Protein/DNA,X-ray
5IP2,5IP2,5IP2,Protein/RNA,X-ray
5IP3,5IP3,5IP3,Protein/DNA,X-ray
5IP8,5IP8,5IP8,DNA,X-ray
5IPL,5IPL,5IPL,Protein/DNA/RNA,X-ray
5IPM,5IPM,5IPM,Protein/DNA/RNA,X-ray
5IPN,5IPN,5IPN,Protein/DNA/RNA,X-ray
5IQR,5IQR,,Protein/RNA,EM
5IT7,5IT7,,Protein/RNA/Hybrid,EM
5IT8,5IT8,5IT8,Protein/RNA,X-ray
5IT9,5IT9,,Protein/RNA,EM
5ITH,5ITH,5ITH,Protein/DNA,X-ray
5ITR,5ITR,5ITR,Protein/DNA,X-ray
5ITT,5ITT,5ITT,Protein/DNA,X-ray
5ITU,5ITU,5ITU,Protein/DNA,X-ray
5ITX,5ITX,5ITX,Protein/DNA,X-ray
5ITY,5ITY,5ITY,Protein/DNA,X-ray
5IU5,5IU5,5IU5,DNA,X-ray
5IUD,5IUD,5IUD,Protein/DNA,X-ray
5IV1,5IV1,5IV1,DNA,NMR
5IVW,5IVW,,Protein/DNA,EM
5IWA,5IWA,5IWA,Protein/RNA,X-ray
5IWI,5IWI,5IWI,Protein/DNA,X-ray
5IWJ,5IWJ,5IWJ,DNA,X-ray
5IWM,5IWM,5IWM,Protein/DNA,X-ray
5IX7,5IX7,5IX7,DNA,X-ray
5IY6,5IY6,,Protein/DNA,EM
5IY7,5IY7,,Protein/DNA,EM
5IY8,5IY8,,Protein/DNA,EM
5IY9,5IY9,,Protein/DNA/RNA,EM
5IYA,5IYA,,Protein/DNA,EM
5IYB,5IYB,,Protein/DNA,EM
5IYC,5IYC,,Protein/DNA,EM
5IYD,5IYD,,Protein/DNA/RNA,EM
5IYE,5IYE,5IYE,DNA,X-ray
5IYG,5IYG,5IYG,DNA,X-ray
5IYJ,5IYJ,5IYJ,DNA,X-ray
5IZP,5IZP,5IZP,DNA,NMR
5J01,5J01,5J01,RNA,X-ray
5J02,5J02,5J02,RNA,X-ray
5J05,5J05,5J05,DNA,NMR
5J0E,5J0E,5J0E,DNA,X-ray
5J0M,5J0M,5J0M,Protein/RNA,NMR
5J0N,5J0N,,Protein/DNA,EM
5J0O,5J0O,5J0O,Protein/DNA,X-ray
5J0P,5J0P,5J0P,Protein/DNA,X-ray
5J0Q,5J0Q,5J0Q,Protein/DNA,X-ray
5J0R,5J0R,5J0R,Protein/DNA,X-ray
5J0S,5J0S,5J0S,Protein/DNA,X-ray
5J0T,5J0T,5J0T,Protein/DNA,X-ray
5J0U,5J0U,5J0U,Protein/DNA,X-ray
5J0W,5J0W,5J0W,Protein/DNA,X-ray
5J0X,5J0X,5J0X,Protein/DNA,X-ray
5J0Y,5J0Y,5J0Y,Protein/DNA,X-ray
5J1O,5J1O,5J1O,Protein/RNA,NMR
5J29,5J29,5J29,Protein/DNA,X-ray
5J2A,5J2A,5J2A,Protein/DNA,X-ray
5J2B,5J2B,5J2B,Protein/DNA,X-ray
5J2C,5J2C,5J2C,Protein/DNA,X-ray
5J2D,5J2D,5J2D,Protein/DNA,X-ray
5J2E,5J2E,5J2E,Protein/DNA,X-ray
5J2F,5J2F,5J2F,Protein/DNA,X-ray
5J2G,5J2G,5J2G,Protein/DNA,X-ray
5J2H,5J2H,5J2H,Protein/DNA,X-ray
5J2I,5J2I,5J2I,Protein/DNA,X-ray
5J2J,5J2J,5J2J,Protein/DNA,X-ray
5J2K,5J2K,5J2K,Protein/DNA,X-ray
5J2M,5J2M,5J2M,Protein/DNA,X-ray
5J2N,5J2N,5J2N,Protein/DNA,X-ray
5J2P,5J2P,5J2P,Protein/DNA,X-ray
5J2Q,5J2Q,5J2Q,Protein/DNA,X-ray
5J2W,5J2W,5J2W,Protein/RNA,NMR
5J2Y,5J2Y,5J2Y,Protein/DNA,X-ray
5J30,5J30,5J30,Protein/RNA,X-ray
5J37,5J37,5J37,Protein/DNA,X-ray
5J3C,5J3C,5J3C,Protein/RNA,X-ray
5J3E,5J3E,5J3E,Protein/DNA,X-ray
5J3F,5J3F,5J3F,DNA,NMR
5J3G,5J3G,5J3G,DNA,NMR
5J3I,5J3I,5J3I,DNA,NMR
5J4B,5J4B,5J4B,Protein/RNA,X-ray
5J4C,5J4C,5J4C,Protein/RNA,X-ray
5J4D,5J4D,5J4D,Protein/RNA,X-ray
5J4P,5J4P,5J4P,DNA,NMR
